Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
"Kinda Allouch, Ahmed Salah Al-Saadany, Dina Fouad, Amr Youssef, Ahmed Safwat, Madlyn Tabar, Yasser Ali Maher, Nadia Fahmi, Menha Zaytoon, Tamim Abdou, Mostafa Abd Elsalam",Egypt,6/20/2019,A young woman discovers that familial and psychological traumas can be difficult to leave behind.,Sherif Mandour,83 min,"International Movies, Thrillers",TV-14,2011,81035871,Unruly Friends,Movie
"Yudhveer Bakoliya, Ashok Banthia, Ravi Khanwilkar, Vijay Kashyap, Ila Arun, Sachin Khedekar, Rajeshwari Sachdev, Hemanth Mahaur",India,11/1/2018,This animated retelling of the classic Indian tale of Prince Arjun – part of the Sanskrit epic Mahabharata – begins during the prince's youth.,Arnab Chaudhuri,91 min,"Action & Adventure, Dramas, International Movies",TV-14,2011,70139073,Arjun: The Warrior Prince,Movie
"Benoît Magimel, Isabelle Carré, Antoine Duléry, Ramzy Bédia, Bouli Lanners, Marie-Ange Casta, Daniel Duval, Lubna Azabal, Aurore Clément, Audrey Tautou","France, Belgium",1/1/2017,"After his wife inexplicably disappears, a man takes their two children and relocates to his hometown in an attempt to end their grief and move on.",Jalil Lespert,92 min,"Dramas, Independent Movies, International Movies",TV-14,2011,80011026,Headwinds,Movie
"Hani Salama, Basma Ahmad, Rania Yousef, Kinda Allouch, Yasmin Raeis, Amr Youssef, Zizi El-Badrawy",Egypt,6/13/2019,"Under pressure to marry, a rich playboy is conflicted between four women who each possess a different quality he desires in his ideal wife.",Hadi El Bagoury,93 min,"Dramas, International Movies, Romantic Movies",TV-14,2011,81035848,The Right One,Movie
"Menna Shalaby, Sherif Salama, Yousra El Lozy, Mona Hala, Edward Fouad, Lotfy Labib, Ashraf Hamdy",Egypt,4/25/2019,"Single coworkers at a radio station are brought together by mutual friends, but their starry-eyed notions about love may scuttle their romance.",Ahmad Samir Farag,97 min,"Comedies, International Movies, Romantic Movies",TV-14,2011,81035873,Love Station,Movie
"Saad El Soghayar, Amar, Mohamed Ramadan, Kareem Mahmoud Abdel Aziz, Ayten Amer, Aminaa Alfakharani, Genna Amr, Lotfy Labib, Mahmoud Ellithy",,5/3/2019,"When a beautiful belly-dancer moves into their apartment building, a group of unhappily married men strives to get her attention.",Ismail Farouk,101 min,"Comedies, International Movies, Music & Musicals",TV-14,2012,81035867,It's Fine,Movie
"Tolga Çevik, Köksal Engür, Pelin Körmükçü, Toprak Sergen, Zeynep Özder",Turkey,3/10/2017,"Desperate for cash, klutzy private investigator Tekin searches for a wealthy woman's missing girl but faces one surprise and mishap after another.",Ozan Açıktan,102 min,"Comedies, International Movies",TV-14,2012,80134434,Sen Kimsin?,Movie
"Jackie Shroff, Aditya Pancholi, Swarangi Maharte, Ameya Hunaswadkar, Urmila Matondkar",India,1/1/2018,A schoolteacher known for his good deeds and benevolence takes a walk on the dark side after undergoing a heart transplant.,Amar Gupte,103 min,"Dramas, International Movies",TV-14,2012,80202905,Hridaynath,Movie
"Ai-Ai de las Alas, Vice Ganda, Kris Aquino, Xyriel Manabat, Daniel Padilla, Kathryn Bernardo, Tirso Cruz III, Deejay Durano, Gloria Diaz, Jeffrey Quizon",Philippines,3/7/2019,"Two half siblings separated by family conflict cross paths as adults at a fashion agency – but one of them has a vendetta, unbeknownst to the other.",Wenn V. Deramas,105 min,"Comedies, International Movies",TV-14,2012,81010867,Sisterakas,Movie
"Kay Kay Menon, Ranvir Shorey, Manu Rishi Chadha, Pradhuman Singh, Neha Bhasin, Jackie Shroff, Asrani, Neeraj Vora, Sharat Saxena, Tom Alter",India,12/28/2018,"A vengeful son, a cop on a mission, a wannabe actress and a jilted lover find their lives intermingling in unexpected ways over 24 hours in Mumbai.",Rakesh Mehta,109 min,"Action & Adventure, Comedies, Dramas",TV-14,2012,81024730,Life Ki Toh Lag Gayi,Movie
"Emraan Hashmi, Abhay Deol, Prasenjit Chatterjee, Kalki Koechlin, Supriya Pathak, Tillotama Shome, Anant Jog, Pitobash, Farooq Shaikh, Arvind Goswami",India,3/1/2018,Three disparate characters uncover government corruption as a small Indian town receives an influx of foreign money to turn it into the next Shanghai.,Dibakar Banerjee,109 min,"Dramas, Independent Movies, International Movies",TV-14,2012,70244982,Shanghai,Movie
"Manish Chaudhary, Kunal Khemu, Amrita Puri, Shekar Shukla, Teeshay, Mia Evonne Uyeda",India,3/27/2017,"Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career.",Vishal Mahadkar,110 min,"Dramas, International Movies, Romantic Movies",TV-14,2012,80175623,Blood Money,Movie
"Sukhjinder Shera, Guggu Gill, Deep Dhillon, Raj Virk, Surinder Shinda",India,12/28/2018,"As unemployment, drug addiction and corruption plague a society, this drama depicts the people who believe there’s still good in the world.",,116 min,"Dramas, International Movies, Romantic Movies",TV-14,2012,81024717,Rehmataan,Movie
"Pulkit Samrat, Ashok Pathak, Tanvir Singh, Amita Pathak, Sunil Shetty, Rajendra Sethi, Mohan Kapoor",India,5/1/2017,"When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos – with mixed results.",Supavitra Babul,117 min,"Comedies, Dramas, International Movies",TV-14,2012,80165848,Bittoo Boss,Movie
"Vidya Balan, Parambrata Chatterjee, Dhritiman Chatterjee, Saswata Chatterjee, Indraneil Sengupta, Nawazuddin Siddiqui, Darshan Jariwala, Masood Akhtar, Riddhi Sen",India,6/26/2019,"Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.",Sujoy Ghosh,122 min,"International Movies, Music & Musicals, Thrillers",TV-14,2012,70236020,Kahaani,Movie
"Reza Rahadian, Bunga Citra Lestari, Tio Pakusadewo, Ratna Riantiarno, Mike Lucock, Vitta Mariana Barrazza, Christoffer Nelwan","Indonesia, Singapore",1/28/2019,"This companion to 2016's ""Rudy Habibie"" traces the relationship between Indonesia’s third president and his wife behind the scenes of their public lives.",Faozan Rizal,125 min,"Dramas, International Movies, Romantic Movies",TV-14,2012,81047898,Habibie & Ainun,Movie
"John Lloyd Cruz, Bea Alonzo, Hilda Koronel, Ronaldo Valdez, Anita Linda, Carmi Martin",Philippines,2/27/2019,The mistress of a wealthy businessman is torn between her loyalty to him and her love for a young architect connected to her in unexpected ways.,Olivia M. Lamasan,132 min,"Dramas, International Movies, Romantic Movies",TV-14,2012,81010872,The Mistress,Movie
"Mithra Kurian, Anoop Menon, Mohanlal, Narein, Priyamani, Roma, Siddique, Jagathy Sreekumar",India,11/1/2018,"Anticipating the next move in a serial killer's grisly game, a police chief realizes that his daughter and estranged wife are the next likely victims.",B. Unnikrishnan,133 min,"International Movies, Thrillers",TV-14,2012,70241088,Grandmaster,Movie
"Jayasurya, Indrajith, Asif Ali, Lal, Bhama, Ramya Nambeeshan, Rima Kallingal, Praveena",India,11/1/2018,"Three professional friends, all husbands living with domineering wives, take a well-deserved vacation in the resort city of Goa.",Saji Surendran,150 min,"Comedies, International Movies, Music & Musicals",TV-14,2012,70254342,Husbands in Goa,Movie
"Amruta Khanvilkar, Vidyadhar Joshi, Subodh Bhave",India,3/15/2018,"Friends in their last year of college contemplate the future of their band as they juggle questions of love, work, family and identity.",Aditya Sarpotdar,150 min,"Dramas, International Movies, Music & Musicals",TV-14,2012,80238400,Satrangi Re,Movie
"Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant, Subodh Bhave, Jyoti Subhash, Satish Alekar, Anita Date, Amey Wagh, Kishori Balal, Pakoda Pandi",India,5/10/2017,"An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage.",Sachin Kundalkar,151 min,"Comedies, International Movies, Music & Musicals",TV-14,2012,70261058,Aiyyaa,Movie
"Vimal, Anjali, Shiva, Oviya, Santhanam, John Vijay, M. Ilavarasu, Manobala",India,11/1/2018,"Cheenu dreams of resurrecting the restaurant he has inherited to its former glory, but his brother, a compulsive gambler, loses the place to a cop.",Sundar C.,154 min,"Comedies, International Movies, Music & Musicals",TV-14,2012,70229040,Kalakalappu,Movie
"Vinod Khanna, Abhishek Bachchan, Bobby Deol, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johnny Lever, Shweta Bhardwaj",India,7/1/2017,"Learning of a fortune in gold being secretly shipped to Romania, master thieves Charlie and Riya assemble a crack team to steal it.","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",162 min,"Action & Adventure, International Movies",TV-14,2012,70229498,Players,Movie
"Rahul Bairagi, Arbaaz Khan, Tejas Parvatkar, Dhanshree Jain, Salman Khan, Aftab Khan",India,11/15/2016,"This coming-of-age tale follows Rahul, a young boy growing up in a Mumbai slum whose alcoholic father abuses him and his mother.",Manjeet Singh,77 min,"Dramas, Independent Movies, International Movies",TV-14,2012,70260514,Mumbai Cha Raja,Movie
Jim Gaffigan,United States,8/11/2016,"Funnyman Jim Gaffigan offers up his unique take on everything from Disney World to overweight whales in this live show from Washington, D.C.",Jay Karas,77 min,Stand-Up Comedy,TV-14,2012,70237054,Jim Gaffigan: Mr. Universe,Movie
William Hurt,India,5/1/2017,Dylan Mohan Gray examines Africa's AIDS crisis and activists' battle with pharmaceutical companies to make life-saving HIV drugs more affordable.,Dylan Mohan Gray,83 min,"Documentaries, International Movies",TV-14,2012,70268209,Fire in the Blood,Movie
"Jane Turner, Gina Riley, Magda Szubanski, Glenn Robbins, Peter Rowsthorn, Rob Sitch, Richard E. Grant, Barry Humphries, Erin Mullally, Jessica De Gouw",Australia,7/28/2018,"Chipper baby boomer Kath, diva daughter Kim and hapless pal Sharon visit Papilloma, Italy, where a royal romance and knockoff fashions await.",Ted Emery,86 min,Comedies,TV-14,2012,81015524,Kath & Kimderella,Movie
"Eyad Nassar, Ahmed Bedir, Fathy Abdel Wahab, Sawsan Badr, Maged El Kedwany, Tarek Abdel Aziz, Karima Mokhtar, Yousra El Lozy, Somaya El Khashab, Mohamed Emam",Egypt,4/26/2019,"Based on the 2002 El Ayyat train accident, this drama begins 90 minutes before the explosion, following the lives of riders in the third-class cars.",Wael Ehsan,87 min,"Dramas, International Movies",TV-14,2012,81035865,An Hour and a Half,Movie
"Yasmin Abdulaziz, Hassan El Raddad, Ahmed Fouad Selim, Entessar, Hesham Ismail, Badria Tolba, Ghassan Mattar, Eman El-Sayed, Saad El Soghayar, Soleiman Eid, Youssef Eid, Hassan Abdulfattah, Mohamed Lotfy, Hala Fakher",Egypt,6/6/2019,A successful advertising agency executive falls asleep on an airplane and wakes up in an alternate universe as a stay-at-home mom with three kids.,Wael Ihsan,90 min,"Comedies, International Movies",TV-14,2012,81035863,Ms. Mammy,Movie
"Lehar Khan, Krishang Trivedi, Parvin Dabas, Suhasini Mulay, V.M. Badola, Tannishtha Chatterjee, Rahul Singh, Harsh Mayar",India,5/19/2018,"When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets.",Nila Madhab Panda,94 min,"Dramas, Independent Movies, International Movies",TV-14,2012,80091267,Jalpari: The Desert Mermaid,Movie
"Ranvir Shorey, Gul Panag, Purab Kohli, Neil Bhoopalam, Gunjan Bakshi, Saurabh Shukla, Atul Kumar, Brijendra Kala, Bharati Achrekar, Rahul Vohra",India,2/15/2019,"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend.",Rajat Kapoor,97 min,"Comedies, Dramas, International Movies",TV-14,2012,81067759,Fatso,Movie
"Ata Demirer, Necati Bilgiç, Tarık Ünlüoğlu, Özlem Türkad, Nihal Yalçın, Cemil Özbayer, Cengiz Bozkurt, Orhan Güner, Mert Aran",Turkey,3/10/2017,"After a losing streak puts him in debt of 50,000 euros to his sponsors, an unlikely Turkish-German boxer in Berlin finds himself in need of a miracle.",Hakan Algül,99 min,"Comedies, International Movies, Sports Movies",TV-14,2012,80134521,Berlin Kaplani,Movie
"Demet Akbağ, Sermiyan Midyat, Mahir İpek, Gülhan Tekin, Burcu Gönder, Mine Şenhuy Teber, Osman Alkaş, Bülent Çolak, Olgun Toker, Doğukan Polat",Turkey,3/10/2017,"In 1949, with freedoms threatened, housewife Hükümet is unaware of her future life in politics as she faces off with liar and mayoral hopeful Faruk.",Sermiyan Midyat,101 min,"Comedies, International Movies",TV-14,2013,80038441,Hükümet Kadin 2,Movie
"Vice Ganda, Maricel Soriano, Joey Marquez, Ruffa Gutierrez, Cristine Reyes, JC de Vera, Ejay Falcon, Angelu De Leon, Bobby Andrews",Philippines,2/27/2019,"Quadruplets separated as babies reunite in Manila when one needs a liver transplant, but long-held family resentments threaten to derail everything.",Wenn V. Deramas,103 min,"Comedies, International Movies",TV-14,2013,81010864,"Girl, Boy, Bakla, Tomboy",Movie
"Ai-Ai de las Alas, Marvin Agustin, Carlo Aquino, Heart Evangelista, Nikki Valdez, Shaina Magdayao, Serena Dalrymple, Jiro Manio",,3/4/2019,"After the untimely demise of her first three husbands, a stoic single mom is left to raise twelve children on her own and provide for her big family.",Wenn V. Deramas,104 min,"Comedies, Dramas, International Movies",TV-14,2013,70039783,My Only Mother,Movie
"Sinem Kobal, Engin Altan Düzyatan, Sedef Avcı, Cemal Hünal, Burcu Kara, Gürgen Öz, Öykü Çelik, Gökçe Özyol",Turkey,3/10/2017,"Didem tries everything to get actor Cem to propose to her, but he's got other things on his mind: a beautiful new co-star and a secret bachelor party.",Erol Özlevi,105 min,"Comedies, International Movies, Romantic Movies",TV-14,2013,80134435,Romantik Komedi 2: Bekarlığa Veda,Movie
"Govinda, Priyanka Chopra, Kader Khan, Prem Chopra, Shakti Kapoor, Sharat Saxena, Himani Shivpuri, Johnny Lever",India,7/1/2018,A man's instant attraction to a woman becomes an obsession as he adopts a friend's identity and even commits murder in order to get closer to her.,K.C. Bokadia,107 min,"Comedies, Dramas, International Movies",TV-14,2013,80236278,Deewana Main Deewana,Movie
"Ahmed Mekky, Nicole Saba, Mohamed Lotfy, Hussien El Imam, Dina El-Sherbiny, Said Tarabeek, Alaa Morsy, Edward Fouad, Abdalah Mishrif, Youssef Eid",Egypt,6/6/2019,"Disliked for his stinginess, Samir finds his life turned upside down when he receives a windfall and launches a television channel.",Amr Arafa,107 min,"Comedies, International Movies",TV-14,2013,81035858,Sameer Abu Alneel,Movie
"Sharman Joshi, Soha Ali Khan, Javed Jaffrey, Dalip Tahil, Mukul Dev, Sanjay Mishra, Vivek Rana, Manoj Pahwa",India,3/2/2019,"Set in an India-Pakistan border post, this satirical but thought-provoking comedy about war deals with serious events in a humorous manner.",Faraz Haider,109 min,"Comedies, Dramas, International Movies",TV-14,2013,70296742,War Chhod Na Yaar,Movie
"Mohamed Saad, Dolly Shahin, Marwa, Hayatem, Sayed Rajab, Omar Mustafa Metwally, Samy Maghawry, Nabil Issa, Ragaa Al-Geddawy, Samir Ghanem",Egypt,5/9/2019,A down-on-his-luck man must prove he's not as hapless as he seems when the woman he's on a date with is suddenly kidnapped.,Sameh Abdulaziz,112 min,"Comedies, International Movies",TV-14,2013,81035856,Tattah,Movie
"Amitabh Bachchan, Ajay Devgn, Vidya Balan, Shatrughan Sinha, Sunny Deol, Anil Kapoor, Manoj Bajpayee, Jackie Shroff, Anupam Kher, Deepti Naval",India,8/1/2018,Two young brothers encounter a singing bird who treats them to a musical reinterpretation of one of India’s most epic ancient tales.,Amaan Khan,119 min,"Action & Adventure, Dramas, International Movies",TV-14,2013,81002214,Mahabharat,Movie
"Rajkummar Rao, Amit Sadh, Sushant Singh Rajput, Amrita Puri, Digvijay Deshmukh, Asif Basra, Manav Kaul, Ashish Kakkad",India,11/1/2018,This Bollywood drama tells the story of three best friends who dream of starting a cricket training academy in Ahmedabad for very different reasons.,Abhishek Kapoor,120 min,"Dramas, International Movies, Sports Movies",TV-14,2013,70254346,Kai Po Che!,Movie
